name,main_lang,ms_item,ms_class,obj_desc,sup_desc,early_date,late_date,period,region,settlement,geo_place
Akld 0005,grc,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama Caves
Akld 0006,grc,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0007,grc,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0008,grc,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama Caves
Akld 0009,grc,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0011,heb,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0012,heb,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama Caves
Akld 0014,grc,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0015,grc,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0016,heb,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0018,grc,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0019,heb,jewish,funerary,ossuary,limestone,,,,Judaea,Jerusalem,Akeldama
Akld 0020,heb,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0021,heb,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0023,heb,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0024,heb,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Alji 0001,grc,otherreligion,funeraryepitaph,tombstone,,1,299,Roman,Jordan,UmmalJimal,"West of the south-west gate of the western
                           wall"
Alji 0002,grc,otherreligion,funeraryepitaph,tombstone,stoneother,1,299,Roman,Jordan,UmmalJimal,4m to the east of House number XIV
Amud0001,arc,jewish,dedicatory,unknownobject,stone,100,300,Roman,Galilee,HorvathaAmudim,Ancient synaogogue
Amud0002,arc,jewish,dedicatory,mosaic,materialunknown,100,300,Roman,Galilee,HorvathaAmudim,Ancient synaogogue
Anna 0001,heb,jewish,funerary,ossuary,,,,Unknown,Judaea,WadianNar,Qata
Anna 0002,heb,jewish,funerary,ossuary,,,,Unknown,Judaea,WadianNar,Qata
Anna 0003,heb,jewish,funerary,ossuary,,,,Unknown,Judaea,WadianNar,Qata
anna0004,heb,jewish,funerary,ossuary,,,,Unknown,Judaea,WadianNar,Qata
Anun 0001,grc,christian,dedicatory,pavementmosaic,stone,350,450,Byzantine,Judaea,Bethennim,Central Church of Beit Anun
Anun 0002,grc,christian,prayer,pavementmosaic,stone,400,500,Byzantine,Judaea,Bethennim,Central Church of Beit Anun
Anun 0003,grc,christian,prayer,pavementmosaic,stone,300,499,Byzantine,Judaea,Bethennim,Central Church of Beit Anun
Anun 0004,grc,christian,prayer,pavementmosaic,stone,300,499,Byzantine,Judaea,Bethennim,Central Church of Beit Anun
Apol 0001,grc,jewish,dedicatory,floorpavementmosaic,materialunknown,324,600,Byzantine,Coastal Plain,Apollonia,Apollonia-Arsuf
Apol 0002,grc,,dedicatory,floorpavementmosaic,materialunknown,350,529,Byzantine,Coastal Plain,Apollonia,Apollonia-Arsuf
Apol 0100,grc,christian,dedicatory,mosaic,stone,400,600,Byzantine,Coastal Plain,Apollonia,church
Arad 0001,grc,otherreligion,legalreceipt,ostrakon,clay,1,100,Early Roman,Judaea,TelArad,citadel (stratum iii)
Arak 0001,la,unknownreligion,labelownership,wall,stone,70,200,Roman,Judaea,KhirbetArakHala,Underground oil complex
Arak 0002,arc,jewish,prayer,wall,stone,98,117,Early Roman,Judaea,KhirbetArakHala,Underground oil complex
Arch 0001,grc,christian,dedicatory,floormosaic,,525,575,Byzantine,Jordan Valley,Archelais,Church
Arch 0002,grc,christian,dedicatory,floormosaic,,570,570,Byzantine,Jordan Valley,Archelais,"Church, Bema and apse"
Arch 0003,grc,christian,dedicatory,floormosaic,,525,575,Byzantine,Jordan Valley,Archelais,"Church, north side of the south aisle"
Arch 0004,grc,christian,dedicatory,floormosaic,,324,638,Byzantine,Jordan Valley,Archelais,Church
Arch 0005,grc,christian,dedicatory,floormosaic,materialunknown,525,575,Byzantine,Jordan Valley,Archelais,Church 2 km north of 'Auja
Arch 0006,grc,otherreligion,labelsundial,sundial,materialunknown,-330,330,Unknown,Jordan Valley,Archelais,Khirbet el-Beiyiûdât
Aris 0001,grc,christian,dedicatory,mosaic,stone,701,701,,Judaea,Aristobulias,Basilica
Arra 0001,grc,christian,dedicatory,mosaic,stone,550,650,Byzantine,Galilee,Arraba,
Ashd 0001,grc,jewish,dedicatory,chancelscreen,marble,330,600,Byzantine,Coastal Plain,Ashdod,
Ashd 0003,grc,christian,dedicatory,mosaic,materialunknown,529,529,Byzantine,Coastal Plain,Ashdod,
Ashd 0004,arc,jewish,funerary,ostrakon,clay,-350,-300,Persian/Hellenistic,Coastal Plain,Ashdod,Nebi Yunis
Ashk 0001,grc,jewish,dedicatory,column,stone,330,600,Byzantine,Coastal Plain,Ashkelon,
Ashk 0002,grc,jewish,dedicatory,chancelscreen,marble,604,605,Byzantine,Coastal Plain,Ashkelon,
Ashk 0003a,la,otherreligion,placemarkermilestone,column,marble,218,222,Late Roman,Coastal Plain,Ashkelon,Third Mile Estate
Ashk 0003b,la,otherreligion,placemarkermilestone,column,marble,284,305,,Coastal Plain,Ashkelon,Third Mile Estate
Ashk 0004,grc,christian,verse,mosaic,stone,475,500,Byzantine,Coastal Plain,Ashkelon,
Ashk 0005,grc,christian,verse,mosaic,stone,493,493,Byzantine,Coastal Plain,Ashkelon,
Ashk 0006,grc,christian,dedicatory,mosaic,stone,500,550,Byzantine,Coastal Plain,Ashkelon,Khirbet Makkus
Ashk 0007,grc,christian,dedicatoryoffering,mosaic,stone,500,650,Byzantine,Coastal Plain,Ashkelon,Khirbet Makkus
Ashk 0008,grc,christian,dedicatory,mosaic,stone,550,600,Byzantine,Coastal Plain,Ashkelon,Khirbet Makkus
Ashk 0009,grc,unknownreligion,honorific,slab,marble,68,90,Early Roman,Coastal Plain,Ashkelon,
Ashk 0010,grc,otherreligion,honorific,architrave,marble,220,220,Late Roman,Coastal Plain,Ashkelon,Necropolis
Ashk 0011,grc,christian,dedicatory,floor,materialunknown,543,543,Byzantine,Coastal Plain,Ashkelon,Newe Yam Dalet Neighbourhood
Ashk 0012,grc,christian,verse,floor,materialunknown,543,543,Byzantine,Coastal Plain,Ashkelon,Newe Yam Dalet Neighbourhood
Ashk 0013,grc,christian,verse,floor,materialunknown,543,543,Byzantine,Coastal Plain,Ashkelon,Newe Yam Dalet Neighbourhood
Ashk 0014,grc,christian,dedicatory,slab,marble,500,600,Byzantine,Coastal Plain,Ashkelon,Newe Yam Dalet Neighbourhood
Ashk 0015,grc,christian,acclamation,column,marble,361,362,Byzantine,Coastal Plain,Ashkelon,To the west of a Byzantine church
Auja 0001,grc,christian,dedicatory,mosaic,stoneunknown,324,638,Byzantine,Jordan Valley,Jerichohttpspleiadesstoaorgplaces,‘Ein Auja
Baha 0001,grc,christian,dedicatory,mosaic,stone,500,600,Byzantine,Coastal Plain,Bahan,Church 5 km north of Tulkarm
Baha 0002,grc,christian,dedicatory,mosaic,stone,500,600,Byzantine,Coastal Plain,Bahan,Church 5 km north of Tulkarm
Baha 0003,grc,christian,verse,mosaic,stone,500,600,Byzantine,Coastal Plain,Bahan,Church 5 km north of Tulkarm
Baha 0004,grc,christian,dedicatory,mosaic,stone,500,600,Byzantine,Coastal Plain,Bahan,Church 5 km north of Tulkarm
Baha 0005,grc,christian,verse,mosaic,stone,500,600,Byzantine,Coastal Plain,Bahan,Church 5 km north of Tulkarm
Baid 0001,grc,unknownreligion,funeraryepitaph,tombstone,,,,Unknown,Golan,Baidarus,
Balf 0001,grc,jewish,dedicatory,roomandspacemosaic,stone,518,527,Byzantine,Galilee,BeitAlpha,
Bani 0002,grc,otherreligion,textunknown,altar,stone,100,299,Unknown,Golan,Banias,
Bani 0003,la,otherreligion,dedicatory,altar,materialunknown,161,222,Late Roman,Golan,Banias,Pan's cave
Bani 0004,grc,otherreligion,dedicatory,,stone,148,148,Late Roman,Golan,Banias,
Bani 0005,grc,otherreligion,dedicatory,,stone,100,200,Roman,Golan,Banias,
Bani 0006,la,otherreligion,dedicatory,altar,stone,97,120,Early Roman,Golan,Banias,
Bani 0007,grc,otherreligion,dedicatory,slab,stone,100,300,Roman,Golan,Banias,
Bani 0008,grc,otherreligion,dedicatory,slab,stone,100,300,Roman,Golan,Banias,
Bani 0100,grc,otherreligion,label,weight,materialother,-100,100,Hellenistic/Early Roman,Golan,Banias,
Barn 0001,grc,christian,dedicatory,floormosaic,materialunknown,498,498,Byzantine,Coastal Plain,Barnea,Byzantine Church
Bata 0001,grc,christian,building,mosaic,stone,526,527,Byzantine,Coastal Plain,HorvatBata,
Bata 0002,grc,christian,invocation,mosaic,stone,527,541,Byzantine,Coastal Plain,HorvatBata,Late Church
Bata 0003,grc,christian,dedicatory,mosaic,stone,401,450,Byzantine,Coastal Plain,HorvatBata,
Beer 0001,grc,christian,funerary,slab,marble,500,599,Byzantine,Negev,Beersheba,
Beer 0002,grc,christian,funerary,slab,marble,606,606,Byzantine,Negev,Beersheba,
Beer 0003,grc,christian,dedicatory,mosaic,materialunknown,552,553,Byzantine,Negev,Beersheba,Monumental Church
Beer 0004,grc,christian,dedicatory,slab,marble,525,575,Byzantine,Negev,Beersheba,Monumental Church
Beer 0005,grc,christian,dedicatory,slab,marble,525,575,Byzantine,Negev,Beersheba,Monumental Church
Beer 0006,grc,christian,verse,slab,marble,525,575,Byzantine,Negev,Beersheba,Monumental Church
Beer 0007,grc,christian,prayer,slab,marble,525,575,Byzantine,Negev,Beersheba,Monumental Church
Beer 0008,grc,christian,building,slab,marble,525,575,Byzantine,Negev,Beersheba,Monumental Church
Beer 0009,grc,christian,dedicatory,slab,marble,525,575,Byzantine,Negev,Beersheba,Monumental Church
Beer 0010,grc,christian,dedicatory,slab,marble,525,575,Byzantine,Negev,Beersheba,Monumental Church
Beer 0011,grc,unknownreligion,graffiti,block,limestone,324,638,Byzantine,Negev,Beersheba,Horvat Karkur 'Illit
Beer 0012,grc,christian,building,mosaic,stone,501,550,Byzantine,Negev,Beersheba,Horvat Karkur 'Illit
Beer 0013,grc,christian,textunknown,block,marble,554,555,Byzantine,Negev,Beersheba,Horvat Karkur 'Illit
Beer 0014,grc,christian,funeraryepitaph,slab,limestone,324,638,Byzantine,Negev,Beersheba,Horvat Karkur 'Illit
Belv 0001,arc,jewish,dedicatory,lintel,stoneother,300,700,Byzantine,Galilee,Belvoir,Ruins of an ancient building
bens0001,arc,jewish,funerary,ossuary,,-20,135,Early Roman,Coastal Plain,BenShemen,
Bens 0002,grc,christian,funerary,wall,plaster,275,325,,Coastal Plain,BenShemen,
betg0001,arc,jewish,funerary,ossuary,,70,250,Late Roman,Judaea,Jerusalem,
beth0001,grc,jewish,funerary,lintel,,150,250,Late Roman,Galilee,BethShearim,
beth0002,grc,jewish,funerary,wall,,150,250,Late Roman,Galilee,BethShearim,
beth0003,grc,jewish,funerary,arch,,150,250,Late Roman,Galilee,BethShearim,
Beth 0004,grc,jewish,funerary,wall,,150,250,Late Roman,Galilee,BethShearim,
beth0005,grc,jewish,funerary,ceiling,,150,250,Late Roman,Galilee,BethShearim,
Beth 0006,grc,jewish,funerary,wall,,150,250,Late Roman,Galilee,BethShearim,
beth0007,grc,jewish,funerary,wall,,150,250,Late Roman,Galilee,BethShearim,
beth0008,grc,jewish,funerary,wallarch,,150,250,Late Roman,Galilee,BethShearim,
beth0009,grc,jewish,funerary,ceiling,,150,250,Late Roman,Galilee,BethShearim,
beth0010,grc,jewish,funerary,wall,,150,250,Late Roman,Galilee,BethShearim,
beth0011,grc,jewish,funerary,door,,200,250,Late Roman,Galilee,BethShearim,
Beth 0012,grc,jewish,funerary,arch,,200,250,Late Roman,Galilee,BethShearim,
Beth 0013,grc,jewish,funerary,lintel,,175,300,Roman,Galilee,BethShearim,
beth0014,grc,jewish,funerary,arch,,175,300,Roman,Galilee,BethShearim,
beth0015,grc,jewish,funerary,wall,,175,300,Roman,Galilee,BethShearim,
beth0016,grc,jewish,funerary,lintel,,175,350,Talmudic,Galilee,BethShearim,
beth0017,grc,jewish,funerary,door,,175,350,Talmudic,Galilee,BethShearim,
beth0018,grc,jewish,funerary,lintel,,275,350,Talmudic,Galilee,BethShearim,
beth0019,grc,jewish,funerary,door,,250,350,Talmudic,Galilee,BethShearim,
Beth 0020,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0021,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0022,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0023,grc,jewish,funerary,arch,,250,350,Talmudic,Galilee,BethShearim,
Beth 0024,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0025,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0026,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0027,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0028,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0029,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0030,grc,jewish,funerary,arch,,250,350,Talmudic,Galilee,BethShearim,
Beth 0031,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,"Catacomb 1, Hall G, room III, arcosolium 1"
Beth 0032,grc,jewish,funerary,arcosolium,,250,350,Talmudic,Galilee,BethShearim,
Beth 0033,grc,jewish,funerary,arcosolium,,250,350,Talmudic,Galilee,BethShearim,
Beth 0034,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0035,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0036,grc,jewish,funerary,arcosolium,,250,350,Talmudic,Galilee,BethShearim,
Beth 0037,grc,jewish,funerary,arcosolium,,250,350,Talmudic,Galilee,BethShearim,
Beth 0038,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0039,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0040,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0041,grc,jewish,funerary,arch,,250,350,Talmudic,Galilee,BethShearim,"Catacomb 1, Hall G, passageway room III to IV. "
Beth 0042,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0043,grc,jewish,funerary,tomb,,250,350,Talmudic,Galilee,BethShearim,
Beth 0044,grc,jewish,funerary,arch,,250,350,Talmudic,Galilee,BethShearim,
Beth 0045,grc,jewish,funerary,wall,,300,400,Talmudic,Galilee,BethShearim,
Beth 0046,grc,jewish,funerary,arcosolium,,300,400,Talmudic,Galilee,BethShearim,
Beth 0047,grc,jewish,funerary,wall,,300,400,Talmudic,Galilee,BethShearim,
Beth 0048,grc,jewish,funerary,wall,,300,400,Talmudic,Galilee,BethShearim,
Beth 0049,grc,jewish,funerary,arcosoliumceiling,,300,400,Talmudic,Galilee,BethShearim,
Beth 0050,grc,jewish,funerary,ceiling,,300,400,Talmudic,Galilee,BethShearim,
Beth 0051,grc,jewish,funerary,arcosolium,,250,350,Talmudic,Galilee,BethShearim,
Beth 0052,grc,jewish,funerary,arcosolium,,300,400,Talmudic,Galilee,BethShearim,
Beth 0053,grc,jewish,funerary,wall,,300,400,Talmudic,Galilee,BethShearim,
Beth 0054,grc,jewish,funerary,wall,,300,400,Talmudic,Galilee,BethShearim,
Beth 0055,grc,jewish,funerary,wall,,300,400,Talmudic,Galilee,BethShearim,
Beth 0056,grc,jewish,funerary,wall,,300,400,Talmudic,Galilee,BethShearim,
Beth 0057,grc,jewish,funerary,wall,,300,400,Talmudic,Galilee,BethShearim,
Beth 0058,grc,jewish,funerary,arcosolium,,300,400,Talmudic,Galilee,BethShearim,
Beth 0059,grc,jewish,funerary,arcosolium,,300,400,Talmudic,Galilee,BethShearim,
Beth 0060,grc,jewish,funerary,ceiling,,300,400,Talmudic,Galilee,BethShearim,
Beth 0061,grc,jewish,funerary,slab,marble,250,350,Talmudic,Galilee,BethShearim,
Beth 0062,grc,jewish,funerary,arcosolium,,250,350,Talmudic,Galilee,BethShearim,
Beth 0063,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0064,grc,jewish,funerary,wall,,250,350,Talmudic,Galilee,BethShearim,
Beth 0065,grc,jewish,funerary,arcosolium,,250,350,Talmudic,Galilee,BethShearim,
Beth 0066,grc,jewish,funerary,arcosolium,,250,350,Talmudic,Galilee,BethShearim,
Beth 0067,grc,jewish,funerary,arcosolium,,250,350,Talmudic,Galilee,BethShearim,
Beth 0068,grc,jewish,funerary,arcosolium,,250,350,Talmudic,Galilee,BethShearim,
Beth 0069,grc,jewish,funerary,arcosolium,,200,300,Roman,Galilee,BethShearim,
Beth 0070,grc,jewish,funerary,tombstone,stone,200,300,Roman,Galilee,BethShearim,
Beth 0071,grc,jewish,funerary,tombstone,stone,200,300,Roman,Galilee,BethShearim,
Beth 0072,grc,jewish,funerary,arcosolium,,275,325,Late Roman,Galilee,BethShearim,
Beth 0073,grc,jewish,funerary,arch,,275,325,Late Roman,Galilee,BethShearim, 
Beth 0074,grc,jewish,funerary,arcosolium,,200,400,Talmudic,Galilee,BethShearim,
Beth 0075,grc,jewish,funerary,wall,,200,400,Talmudic,Galilee,BethShearim,
Beth 0076,grc,jewish,funerary,wall,,200,400,Talmudic,Galilee,BethShearim,
Beth 0077,grc,jewish,funerary,arcosolium,,200,400,Talmudic,Galilee,BethShearim,
Beth 0078,grc,jewish,funerary,wall,,200,400,Talmudic,Galilee,BethShearim,
Beth 0079,grc,jewish,funerary,wall,,200,400,Talmudic,Galilee,BethShearim,
Beth 0080,grc,jewish,funerary,wall,,200,400,Talmudic,Galilee,BethShearim,
Beth 0081,grc,jewish,funerary,arcosolium,,200,350,Talmudic,Galilee,BethShearim,
Beth 0082,grc,jewish,funerary,wall,,200,350,Talmudic,Galilee,BethShearim,
Beth 0083,grc,jewish,funerary,lintel,,200,350,Talmudic,Galilee,BethShearim,
Beth 0084,grc,jewish,funerary,wall,,200,300,Roman,Galilee,BethShearim,
Beth 0085,grc,jewish,funerary,wall,,200,300,Roman,Galilee,BethShearim,
Beth 0086,grc,jewish,funerary,arch,,200,300,Roman,Galilee,BethShearim,
Beth 0087,grc,jewish,funerary,wall,,200,300,Roman,Galilee,BethShearim,
Beth 0088,grc,jewish,funerary,wall,,200,300,Roman,Galilee,BethShearim,
Beth 0089,grc,jewish,funerary,arcosolium,,200,300,Roman,Galilee,BethShearim,
Beth 0090,grc,jewish,funerary,wall,,200,300,Roman,Galilee,BethShearim,
Beth 0091,grc,jewish,funerary,arcosoliumwall,,200,300,Roman,Galilee,BethShearim,
Beth 0092,grc,jewish,funerary,arch,,200,300,Roman,Galilee,BethShearim,
Beth 0093,grc,jewish,funerary,wall,,200,300,Roman,Galilee,BethShearim,
Beth 0094,grc,jewish,funerary,wall,,200,300,Roman,Galilee,BethShearim,
Beth 0095,grc,jewish,funerary,arch,,200,300,Roman,Galilee,BethShearim,
Beth 0096,grc,jewish,funerary,arcosolium,,200,300,Roman,Galilee,BethShearim,
Beth 0097,grc,jewish,funerary,ledge,,200,300,Roman,Galilee,BethShearim,
Beth 0098,grc,jewish,funerary,wall,,200,300,Roman,Galilee,BethShearim,
Beth 0099,grc,jewish,funerary,lintel,,200,350,Talmudic,Galilee,BethShearim,
Beth 0100,grc,jewish,funerary,arch,,200,350,Talmudic,Galilee,BethShearim,
Beth 0101,grc,jewish,funerary,wall,,200,350,Talmudic,Galilee,BethShearim,
Beth 0102,grc,jewish,funerary,arcosolium,,200,350,Talmudic,Galilee,BethShearim,
Beth 0103,grc,jewish,funerary,wall,,200,350,Talmudic,Galilee,BethShearim,
Beth 0104,grc,jewish,funerary,arcosolium,,200,350,Talmudic,Galilee,BethShearim,
Beth 0105,grc,jewish,funerary,ledge,,200,350,Talmudic,Galilee,BethShearim,
Beth 0106,grc,jewish,funerary,lintel,,200,350,Talmudic,Galilee,BethShearim,
Beth 0107,grc,jewish,funerary,lintel,,200,350,Talmudic,Galilee,BethShearim,
Beth 0108,grc,jewish,funerary,arcosolium,,200,350,Talmudic,Galilee,BethShearim,
Beth 0109,grc,jewish,funerary,arch,,200,300,Roman,Galilee,BethShearim,
Beth 0110,grc,jewish,funerary,arch,,200,300,Roman,Galilee,BethShearim,
Beth 0111,grc,jewish,funerary,arcosolium,,200,300,Roman,Galilee,BethShearim,
Beth 0112,grc,jewish,funerary,arcosolium,,200,300,Roman,Galilee,BethShearim,
